id,country,shipment_mode,scheduled_delivery_date,delivered_to_client_date,product_group,sub_classification,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,weight_kilograms,freight_cost_usd,dosage
64,Rwanda,Air,27-Feb-07,27-Feb-07,ARV,Adult,60,10000,99800.0,9.98,0.17,7416,64179.42,150/300mg
65,Haiti,Air,18-Jan-07,18-Jan-07,HRDT,HIV test,100,750,60000.0,80.0,0.8,256,1760.32,
68,Zimbabwe,Air,19-Mar-07,19-Mar-07,ARV,Pediatric,60,579,14764.5,25.5,0.42,Weight Captured Separately,Freight Included in Commodity Cost,200mg
69,Nigeria,,7-May-07,7-May-07,HRDT,HIV test,100,1500,120000.0,80.0,0.8,Weight Captured Separately,Freight Included in Commodity Cost,
80,Rwanda,Air,29-Mar-07,29-Mar-07,HRDT,HIV test,30,2000,33000.0,16.5,0.55,710,3120.7,
81483,Vietnam,Air,12-Nov-12,12-Nov-12,ARV,Adult,60,525,3465.0,6.6,0.11,34,807.47,300mg
87,Tanzania,Air,6-Jun-07,6-Jun-07,ARV,Pediatric,200,712,8964.08,12.59,0.06,162,912.96,2g
92,Nigeria,Air,19-Jun-07,19-Jun-07,HRDT,HIV test,100,1000,80000.0,80.0,0.8,341,2682.47,
96,Nigeria,Air,19-Jun-07,19-Jun-07,HRDT,HIV test,20,7500,202500.0,27.0,1.35,2278,15893.71,
108,Côte d'Ivoire,Air,2-Oct-07,2-Oct-07,ARV,Pediatric,60,5513,140581.5,25.5,0.42,2126,Freight Included in Commodity Cost,200mg
115,Vietnam,Air,15-Oct-07,15-Oct-07,ARV,Pediatric,240,1000,1920.0,1.92,0.01,941,4193.49,10mg/ml
116,Vietnam,Air,27-Aug-07,27-Aug-07,ARV,Adult,120,500,41095.0,82.19,0.68,117,1767.38,200/50mg
130,Haiti,Air,13-Aug-07,21-Aug-07,HRDT,HIV test,100,750,53992.5,71.99,0.72,171,3518.38,
134,Haiti,Air,25-Aug-07,25-Aug-07,HRDT,HIV test,100,25,8750.0,350.0,3.5,60,3097.85,
138,Tanzania,Air,16-Oct-07,16-Oct-07,HRDT,HIV test,25,10000,200000.0,20.0,0.8,3335,27869.74,
139,Tanzania,Air,22-Nov-07,22-Nov-07,HRDT,HIV test,25,10000,200000.0,20.0,0.8,3335,28461.1,
140,Tanzania,Air,22-Nov-07,22-Nov-07,HRDT,HIV test,25,10000,200000.0,20.0,0.8,3335,28359.8,
161,Ethiopia,Air,20-Nov-07,20-Nov-07,ARV,Adult,60,64000,99200.0,1.55,0.03,4228,12237.61,30mg
176,Nigeria,Air,3-Oct-07,3-Oct-07,HRDT,HIV test,20,10000,270000.0,27.0,1.35,3263,20885.78,
262,South Africa,,29-Jan-08,29-Jan-08,ARV,Pediatric,200,40,317.6,7.94,0.04,Weight Captured Separately,Freight Included in Commodity Cost,10mg/ml
269,Vietnam,Air,21-Jan-08,21-Jan-08,ARV,Adult,30,1000,17000.0,17.0,0.57,76,2282.57,300mg
270,Vietnam,Air,21-Jan-08,21-Jan-08,ARV,Adult,60,400,3352.0,8.38,0.14,23,2149.05,300mg
284,Rwanda,Air,31-Jan-08,31-Jan-08,HRDT,HIV test - Ancillary,100,1500,15.0,0.01,0.0,99,0.75,
305,Nigeria,Air,5-Feb-08,5-Feb-08,HRDT,HIV test - Ancillary,100,650,6.5,0.01,0.0,Weight Captured Separately,Invoiced Separately,
343,South Africa,,21-Jan-08,4-Jan-08,ARV,Pediatric,200,200,340.0,1.7,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1mg/ml
361,Haiti,Air,18-Feb-08,18-Feb-08,HRDT,HIV test,100,2,278.0,139.0,1.39,Weight Captured Separately,Invoiced Separately,
391,Côte d'Ivoire,Air,17-Jun-08,17-Jun-08,HRDT,HIV test,40,476,36176.0,76.0,1.9,509,5446.51,
392,Côte d'Ivoire,Air,19-Mar-09,19-Mar-09,HRDT,HIV test,25,659,13180.0,20.0,0.8,206,2656.12,
398,Guyana,Air,9-Apr-08,1-Apr-08,HRDT,HIV test - Ancillary,100,240,2.4,0.01,0.0,Weight Captured Separately,Invoiced Separately,
399,Guyana,Air,28-Jul-08,28-Jul-08,HRDT,HIV test - Ancillary,100,213,2.13,0.01,0.0,14,360,
400,Ethiopia,,11-Mar-08,11-Mar-08,HRDT,HIV test,100,63,13399.25,212.69,2.13,Weight Captured Separately,Freight Included in Commodity Cost,
410,Zimbabwe,Air,17-Nov-08,17-Nov-08,HRDT,HIV test,100,1634,117631.66,71.99,0.72,373,4112.46,
411,Nigeria,Air,17-Apr-08,17-Apr-08,HRDT,HIV test,20,1425,38475.0,27.0,1.35,483,5468.88,
414,Namibia,Air,4-Jun-08,4-Jun-08,HRDT,HIV test,100,142,10222.58,71.99,0.72,33,1715.17,
420,Vietnam,Air,3-Jun-08,3-Jun-08,ARV,Adult,30,8400,96432.0,11.48,0.38,654,4051.34,600mg
422,South Africa,Truck,24-Apr-08,24-Apr-08,ARV,Adult,270,6,405.06,67.51,0.25,Weight Captured Separately,Freight Included in Commodity Cost,200mg
423,South Africa,Truck,24-Apr-08,24-Apr-08,ARV,Pediatric,200,600,870.0,1.45,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1mg/ml
438,Vietnam,Air,12-Jul-08,12-Jul-08,ARV,Pediatric,60,400,2800.0,7.0,0.12,81,2211.05,25mg
459,South Africa,,25-Apr-08,7-Apr-08,ARV,Pediatric,60,6,77.1,12.85,0.21,Weight Captured Separately,Freight Included in Commodity Cost,25mg
464,Nigeria,Air,9-Jul-08,9-Jul-08,HRDT,HIV test,100,5498,439785.02,79.99,0.8,1251,16090.22,
465,Nigeria,Air,9-Jul-08,4-Jul-08,HRDT,HIV test - Ancillary,100,5498,54.98,0.01,0.0,Weight Captured Separately,Invoiced Separately,
466,Ethiopia,Air,9-May-08,9-May-08,HRDT,HIV test,20,15,691.42,46.09,2.3,Weight Captured Separately,Freight Included in Commodity Cost,
530,Vietnam,Air,19-Sep-08,19-Sep-08,ARV,Adult,30,1344,18359.04,13.66,0.46,1537,13507.92,300mg
531,South Africa,Truck,20-Aug-08,20-Aug-08,ARV,Adult,60,20,103.4,5.17,0.09,Weight Captured Separately,Freight Included in Commodity Cost,20mg
532,South Africa,Truck,20-Aug-08,8-May-08,ARV,Adult,30,100,1906.0,19.06,0.64,Weight Captured Separately,Freight Included in Commodity Cost,250mg
533,South Africa,Truck,20-Aug-08,8-May-08,ARV,Pediatric,200,670,1025.1,1.53,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1mg/ml
535,Tanzania,Air,2-Sep-08,2-Sep-08,ARV,Adult,30,2597,61470.99,23.67,0.79,117,645.1,400mg
543,Haiti,Air,30-Sep-08,30-Sep-08,HRDT,HIV test,100,28,9800.0,350.0,3.5,109,782.13,
551,Haiti,Air,24-Nov-08,24-Nov-08,HRDT,HIV test,100,84,11676.0,139.0,1.39,54,871.57,
598,South Africa,Truck,12-Jun-08,9-Jun-08,ARV,Adult,60,30,1049.4,34.98,0.58,Weight Captured Separately,Freight Included in Commodity Cost,300mg
610,Vietnam,Air,19-Sep-08,19-Sep-08,ARV,Adult,60,38640,92736.0,2.4,0.04,2719,18614.72,150mg
630,Nigeria,Air,25-Feb-09,9-Sep-08,ACT,ACT,540,34,1547.68,45.52,0.08,115,1755.87,20/120mg
637,Vietnam,Air,8-Oct-08,8-Oct-08,ARV,Adult,60,42000,60900.0,1.45,0.02,2600,10179.16,30mg
646,South Africa,Truck,10-Jul-08,8-Jul-08,ARV,Pediatric,240,50,696.5,13.93,0.06,Weight Captured Separately,Freight Included in Commodity Cost,10mg/ml
660,Vietnam,Air,27-Nov-08,27-Nov-08,ARV,Adult,30,16800,171192.0,10.19,0.34,1224,4686.88,600mg
668,Guyana,Air,15-Aug-08,15-Aug-08,MRDT,Malaria,25,98,3675.0,37.5,1.5,34,180,
670,Zambia,Air,20-Oct-08,20-Oct-08,HRDT,HIV test,100,4500,323955.0,71.99,0.72,1053,11062.05,
712,Namibia,Air,18-Sep-08,18-Sep-08,HRDT,HIV test,20,10,320.0,32.0,1.6,Weight Captured Separately,Invoiced Separately,
717,Côte d'Ivoire,Air,2-Oct-08,2-Oct-08,HRDT,HIV test,40,500,38000.0,76.0,1.9,562,11298.13,
719,Côte d'Ivoire,Air,23-Jan-09,23-Jan-09,ACT,ACT,12,25000,9750.0,0.39,0.03,1708,12830.91,50+153mg
772,Nigeria,Air,10-Mar-09,8-Apr-09,ARV,Adult,30,9,453.6,50.4,1.68,Weight Captured Separately,Freight Included in Commodity Cost,600/200/300mg
791,Namibia,Air,29-Oct-08,29-Oct-08,HRDT,HIV test,100,150,10798.5,71.99,0.72,46,2698.04,
796,Botswana,Air,28-Nov-08,28-Nov-08,HRDT,HIV test - Ancillary,2,15,450.0,30.0,15.0,1,578.01,
797,Zambia,Air,23-Jan-09,23-Jan-09,HRDT,HIV test,25,319,6380.0,20.0,0.8,100,1122.24,
835,South Africa,Truck,17-May-09,9-Oct-08,ARV,Adult,30,80,1830.4,22.88,0.76,Weight Captured Separately,Freight Included in Commodity Cost,300mg
836,South Africa,Truck,17-May-09,17-May-09,ARV,Adult,30,120,2745.6,22.88,0.76,Weight Captured Separately,Freight Included in Commodity Cost,300mg
837,South Africa,Truck,17-May-09,9-Oct-08,ARV,Pediatric,200,600,858.0,1.43,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1mg/ml
838,South Africa,Truck,17-May-09,9-Oct-08,ARV,Pediatric,60,7,91.35,13.05,0.22,Weight Captured Separately,Freight Included in Commodity Cost,100mg
2947,Vietnam,Air,22-Jan-08,22-Jan-08,ARV,Adult,60,400,600.0,1.5,0.02,83,2426.05,15mg
839,South Africa,Truck,17-May-09,9-Oct-08,ARV,Pediatric,300,40,1375.6,34.39,0.11,Weight Captured Separately,Freight Included in Commodity Cost,80/20mg/ml
849,Guyana,Air,6-Feb-09,6-Feb-09,MRDT,Malaria,25,108,4050.0,37.5,1.5,Weight Captured Separately,Freight Included in Commodity Cost,
858,Tanzania,Air,21-Apr-09,21-Apr-09,ARV,Adult,30,50000,2520000.0,50.4,1.68,4093,9339,600/200/300mg
914,Côte d'Ivoire,Air,2-Mar-09,2-Mar-09,ANTM,Malaria,100,140,2731.4,19.51,0.2,5209,25405.22,600mg/2ml
937,Mozambique,Air,23-Mar-09,23-Mar-09,HRDT,HIV test,20,5700,182400.0,32.0,1.6,1906,23914.8,
960,Vietnam,Air,10-Apr-09,10-Apr-09,ARV,Adult,60,5964,51350.04,8.61,0.14,3509,12835.2,150/300mg
961,Vietnam,Air,10-Apr-09,10-Apr-09,ARV,Adult,60,21000,50400.0,2.4,0.04,See ASN-3562 (ID#:960),See ASN-3562 (ID#:960),150mg
962,Vietnam,Air,23-Mar-09,23-Mar-09,ARV,Adult,60,10560,72864.0,6.9,0.12,924,4225.93,150/200/30mg
979,Vietnam,Air,16-Mar-09,16-Mar-09,ARV,Adult,60,2352,20250.72,8.61,0.14,211,892.5,150/300mg
985,Tanzania,Air,28-May-09,28-May-09,ARV,Pediatric,300,524,21536.4,41.1,0.14,644,6668.61,80/20mg/ml
986,Tanzania,Air,4-May-09,4-May-09,ARV,Pediatric,60,2094,21526.32,10.28,0.17,237,Freight Included in Commodity Cost,100/25mg
993,Rwanda,Air,28-Apr-09,28-Apr-09,HRDT,HIV test,30,8249,185602.5,22.5,0.75,2800,12595.81,
1037,Nigeria,Air,30-Sep-09,30-Sep-09,ARV,Adult,30,200,4734.0,23.67,0.79,11,463,400mg
1046,Haiti,Air,31-Mar-09,31-Mar-09,ARV,Pediatric,60,80,760.0,9.5,0.16,43,260,50mg
1047,Haiti,Air,31-Mar-09,31-Mar-09,ARV,Pediatric,200,32,402.88,12.59,0.06,See ASN-3675 (ID#:1046),See ASN-3675 (ID#:1046),2g
1048,Haiti,Air,15-Apr-09,15-Apr-09,ARV,Pediatric,60,46,472.88,10.28,0.17,10,893.22,100/25mg
1063,South Africa,Air,31-Mar-09,2-Dec-08,ARV,Adult,30,3025,47522.75,15.71,0.52,Weight Captured Separately,Freight Included in Commodity Cost,600mg
1065,South Africa,Air,7-Apr-09,3-Dec-08,ARV,Adult,30,3500,49840.0,14.24,0.47,Weight Captured Separately,Freight Included in Commodity Cost,600mg
1066,South Africa,Air,7-Apr-09,3-Dec-08,ARV,Pediatric,240,1008,3588.48,3.56,0.01,Weight Captured Separately,Freight Included in Commodity Cost,10mg/ml
1067,South Africa,Air,5-May-09,23-Dec-08,ARV,Pediatric,200,960,1152.0,1.2,0.01,Weight Captured Separately,Freight Included in Commodity Cost,1mg/ml
1068,South Africa,Air,12-May-09,30-Dec-08,ARV,Pediatric,240,1800,10512.0,5.84,0.02,Weight Captured Separately,Freight Included in Commodity Cost,10mg/ml
1070,South Africa,Air,31-Mar-09,21-Nov-08,ARV,Adult,60,1200,3384.0,2.82,0.05,Weight Captured Separately,Freight Included in Commodity Cost,30mg
1077,South Africa,Air,25-Jun-09,21-Apr-09,ARV,Pediatric,240,346,1954.9,5.65,0.02,Weight Captured Separately,Freight Included in Commodity Cost,10mg/ml
1078,South Africa,Truck,25-Jun-09,5-Jun-09,ARV,Pediatric,30,5300,16642.0,3.14,0.1,Weight Captured Separately,Freight Included in Commodity Cost,50mg
1079,South Africa,Air,25-Jun-09,17-Jun-09,ARV,Pediatric,240,342,1932.3,5.65,0.02,Weight Captured Separately,Freight Included in Commodity Cost,10mg/ml
1080,South Africa,Truck,19-Aug-09,19-Aug-09,ARV,Adult,60,2700,10665.0,3.95,0.07,Weight Captured Separately,Freight Included in Commodity Cost,15mg
1084,South Africa,Air,25-Jun-09,14-Apr-09,ARV,Adult,120,3735,134385.3,35.98,0.3,Weight Captured Separately,Freight Included in Commodity Cost,200/50mg
1085,South Africa,Air,25-Jun-09,29-Apr-09,ARV,Adult,60,6000,80640.0,13.44,0.22,Weight Captured Separately,Freight Included in Commodity Cost,300mg
1086,South Africa,Air,25-Jun-09,20-Apr-09,ARV,Adult,60,11672,35016.0,3.0,0.05,Weight Captured Separately,Freight Included in Commodity Cost,30mg
1095,Botswana,Air,13-Nov-09,13-Nov-09,HRDT,HIV test,100,20,7000.0,350.0,3.5,48,1172.11,
1109,Côte d'Ivoire,Air,30-Jun-09,30-Jun-09,ARV,Adult,120,10240,420864.0,41.1,0.34,2523,14806.48,200/50mg
1110,Côte d'Ivoire,Air,22-Jul-09,22-Jul-09,ARV,Adult,336,400,15344.0,38.36,0.11,175,7642.97,100mg
1111,South Africa,Truck,31-Jul-09,21-Apr-09,ARV,Pediatric,300,30,1080.0,36.0,0.12,Weight Captured Separately,Freight Included in Commodity Cost,80/20mg/ml
1114,South Africa,Truck,15-May-09,17-Apr-09,ARV,Adult,30,80,2816.0,35.2,1.17,Weight Captured Separately,Freight Included in Commodity Cost,300/200mg
1115,South Africa,Truck,15-May-09,23-Apr-09,ARV,Adult,60,1000,19770.0,19.77,0.33,Weight Captured Separately,3134.85,300mg
1122,Haiti,Air,16-Sep-09,16-Sep-09,HRDT,HIV test,100,60,21000.0,350.0,3.5,144,3128.19,
1134,Kenya,Air,10-Jul-09,10-Jul-09,HRDT,HIV test,100,7500,600000.0,80.0,0.8,2215,16835.31,
1140,Nigeria,Air,18-Aug-09,18-Aug-09,HRDT,HIV test,100,6395,511600.0,80.0,0.8,1915,24514.33,
1156,Rwanda,Air,25-Jul-09,25-Jul-09,ARV,Adult,30,55356,386384.88,6.98,0.23,4482,37404.74,600mg
1162,Côte d'Ivoire,Air,15-Sep-09,15-Sep-09,HRDT,HIV test,40,1000,110000.0,110.0,2.75,1101,8074.03,
1179,Vietnam,Air,17-Jul-09,17-Jul-09,ARV,Adult,336,8,613.76,76.72,0.23,48,3366.04,100mg
1183,Vietnam,Air,10-Jul-09,10-Jul-09,ARV,Adult,60,3500,39025.0,11.15,0.19,1804,6341.88,150/300/200mg
1196,Botswana,Air,12-Jun-09,10-Jul-09,HRDT,HIV test,100,5,1750.0,350.0,3.5,12,684.42,
1198,Namibia,Air,1-Sep-09,1-Sep-09,HRDT,HIV test,25,67,5025.0,75.0,3.0,48,401.97,
1213,Vietnam,Air,28-Jul-09,28-Jul-09,ARV,Pediatric,60,400,2800.0,7.0,0.12,148,14.36,25mg
1215,Namibia,Air,29-Jun-09,29-Jun-09,HRDT,HIV test,20,220,7040.0,32.0,1.6,79,1736.18,
1221,South Africa,Truck,28-Jul-09,28-Jul-09,ARV,Adult,84,50,490.0,9.8,0.12,Weight Captured Separately,Freight Included in Commodity Cost,100mg
1222,South Africa,Truck,12-Oct-09,5-Aug-09,ARV,Adult,60,5000,41300.0,8.26,0.14,Weight Captured Separately,Freight Included in Commodity Cost,150mg
1223,South Africa,Truck,12-Oct-09,28-Jul-09,ARV,Pediatric,240,460,2838.2,6.17,0.03,Weight Captured Separately,Freight Included in Commodity Cost,10mg/ml
1245,Côte d'Ivoire,Air,27-Jun-06,27-Jun-06,HRDT,HIV test,40,147,11076.45,75.35,1.88,165,1816.57,
1246,Côte d'Ivoire,Air,14-Jul-06,14-Jul-06,HRDT,HIV test,100,6,2400.0,400.0,4.0,15,1039.5,
1251,Vietnam,Air,16-Nov-06,16-Nov-06,ARV,Pediatric,60,2800,19600.0,7.0,0.12,555,3292.15,25mg
1262,Haiti,Air,9-Nov-06,9-Nov-06,HRDT,HIV test,100,15,6000.0,400.0,4.0,36,1195.29,
1279,Zimbabwe,Air,7-Nov-06,7-Nov-06,ARV,Adult,180,260,11096.8,42.68,0.24,135,Freight Included in Commodity Cost,133.3/33.3mg
1281,Nigeria,Air,7-Dec-06,7-Dec-06,ARV,Adult,60,894,2994.9,3.35,0.06,479,4861.14,150mg
1282,Vietnam,Air,14-Mar-07,14-Mar-07,ARV,Adult,60,25100,276100.0,11.0,0.18,2575,18772.94,150/300mg
1283,Vietnam,Air,14-Mar-07,14-Mar-07,ARV,Adult,60,95500,144205.0,1.51,0.03,9170,42453.21,30mg
1285,Guyana,Air,29-Dec-06,29-Dec-06,HRDT,HIV test,20,900,36000.0,40.0,2.0,316,4989.87,
1295,Mozambique,Air,15-Feb-07,15-Feb-07,ARV,Adult,120,80,3288.0,41.1,0.34,25,Freight Included in Commodity Cost,200/50mg
1298,Vietnam,Air,12-May-07,12-May-07,ARV,Adult,60,70000,525000.0,7.5,0.12,6813,31858.09,150/200/30mg
1299,Rwanda,Air,27-Feb-07,27-Feb-07,ARV,Adult,30,71577,1087970.4,15.2,0.51,See ASN-242 (ID#:64),See ASN-242 (ID#:64),600mg
1300,Rwanda,Air,27-Feb-07,27-Feb-07,ARV,Adult,60,5605,202340.5,36.1,0.6,See ASN-242 (ID#:64),See ASN-242 (ID#:64),300mg
1303,Ethiopia,Air,28-Dec-06,28-Dec-06,HRDT,HIV test,100,200,16000.0,80.0,0.8,Weight Captured Separately,Invoiced Separately,
1306,Vietnam,Air,24-Aug-07,24-Aug-07,ARV,Adult,60,25000,187500.0,7.5,0.12,2348,21439.59,150/200/30mg
1307,Nigeria,Air,15-Mar-07,30-Mar-07,HRDT,HIV test,40,375,28500.0,76.0,1.9,402,4445.75,
1309,Ethiopia,Air,15-Jan-07,15-Jan-07,HRDT,HIV test,100,4650,372000.0,80.0,0.8,1707,24859.45,
1337,Côte d'Ivoire,Air,23-Oct-07,23-Oct-07,ARV,Pediatric,60,1577,14981.5,9.5,0.16,306,Freight Included in Commodity Cost,50mg
1347,Nigeria,Air,7-Sep-07,7-Sep-07,HRDT,HIV test,100,3500,280000.0,80.0,0.8,1194,5858.57,
1350,Côte d'Ivoire,Air,2-Oct-07,2-Oct-07,ARV,Pediatric,60,4270,40565.0,9.5,0.16,Weight Captured Separately,Freight Included in Commodity Cost,50mg
1356,Vietnam,Air,2-Oct-07,2-Oct-07,ARV,Pediatric,240,1000,1920.0,1.92,0.01,960,13762.41,10mg/ml
1357,Vietnam,Air,2-Oct-07,2-Oct-07,ARV,Pediatric,240,1000,2100.0,2.1,0.01,See ASN-744 (ID#:1356),See ASN-744 (ID#:1356),10mg/ml
1358,Vietnam,Air,15-Oct-07,15-Oct-07,ARV,Pediatric,240,1000,2100.0,2.1,0.01,See ASN-781 (ID#:115),See ASN-781 (ID#:115),10mg/ml
1359,Vietnam,Air,15-Oct-07,15-Oct-07,ARV,Adult,60,3000,40500.0,13.5,0.22,332,4454.62,150/300/200mg
1360,Vietnam,Air,23-Nov-07,23-Nov-07,ARV,Adult,30,22500,277425.0,12.33,0.41,1955,16095.39,600mg
1361,Vietnam,Air,27-Aug-07,27-Aug-07,ARV,Adult,120,500,41095.0,82.19,0.68,117,1767.38,200/50mg
1383,Tanzania,Air,19-Sep-07,19-Sep-07,HRDT,HIV test,25,10000,200000.0,20.0,0.8,3336,25165.3,
1502,Rwanda,Air,28-Jan-08,28-Jan-08,ARV,Adult,30,1609,27353.0,17.0,0.57,157,7922.24,300mg
1512,South Africa,,29-Jan-08,29-Jan-08,ARV,Pediatric,300,30,1447.8,48.26,0.16,Weight Captured Separately,Freight Included in Commodity Cost,80/20mg/ml
1513,South Africa,,29-Jan-08,29-Jan-08,ARV,Adult,30,100,2850.0,28.5,0.95,Weight Captured Separately,Freight Included in Commodity Cost,400mg
1519,Vietnam,Air,28-Mar-08,28-Mar-08,ARV,Adult,336,100,18333.0,183.33,0.55,337,2535.4,100mg
1527,Nigeria,Air,21-Jan-08,21-Jan-08,HRDT,HIV test,20,10000,270000.0,27.0,1.35,3336,28002.75,
1529,Rwanda,Air,28-Jan-08,28-Jan-08,ARV,Adult,60,1099,30222.5,27.5,0.46,113,1511.25,300mg
1530,Vietnam,Air,1-Feb-08,1-Feb-08,ARV,Adult,60,1200,2100.0,1.75,0.03,125,2429.85,20mg
1531,Kazakhstan,Air,27-Dec-07,27-Dec-07,HRDT,HIV test,100,50,17500.0,350.0,3.5,Weight Captured Separately,Freight Included in Commodity Cost,
1549,Nigeria,Air,5-Feb-08,5-Feb-08,HRDT,HIV test,100,650,51993.5,79.99,0.8,148,2577.27,
1587,South Africa,,21-Jan-08,4-Jan-08,ARV,Adult,60,100,573.0,5.73,0.1,Weight Captured Separately,Freight Included in Commodity Cost,20mg
1593,Botswana,Air,3-Jul-08,3-Jul-08,HRDT,HIV test,20,450,14400.0,32.0,1.6,154,2496.62,
1594,Nigeria,Air,19-Sep-08,16-Jul-08,HRDT,HIV test,20,10270,277290.0,27.0,1.35,2907,18864.37,
1618,Mozambique,Air,27-Mar-08,27-Mar-08,HRDT,HIV test,20,9000,288000.0,32.0,1.6,9000,55746.59,
1628,Zambia,Air,14-May-08,14-May-08,HRDT,HIV test,20,6040,193280.0,32.0,1.6,2052,24689,
1634,Zambia,Air,6-Jun-08,30-May-08,HRDT,HIV test - Ancillary,100,4300,43.0,0.01,0.0,284,Freight Included in Commodity Cost,
1637,Côte d'Ivoire,Air,4-Mar-09,4-Mar-09,HRDT,HIV test,20,289,7803.0,27.0,1.35,79,1104.69,
1638,Mozambique,Air,9-Jul-08,4-Jul-08,HRDT,HIV test,100,3000,215970.0,71.99,0.72,682,5298.9,
1643,Côte d'Ivoire,Air,8-Apr-08,4-Apr-08,HRDT,HIV test - Ancillary,100,70,0.7,0.01,0.0,Weight Captured Separately,Invoiced Separately,
1644,Côte d'Ivoire,Air,22-Jul-08,22-Jul-08,HRDT,HIV test,100,1116,78120.0,70.0,0.7,255,5175.72,
1645,Côte d'Ivoire,Air,19-Dec-08,19-Dec-08,HRDT,HIV test,100,1116,78120.0,70.0,0.7,256,7118.12,
1646,Guyana,Air,6-May-08,6-May-08,HRDT,HIV test,20,832,26624.0,32.0,1.6,832,3740.04,
1647,Guyana,Air,28-Jul-08,28-Jul-08,HRDT,HIV test,100,213,15333.87,71.99,0.72,49,959.46,
1648,Botswana,Air,11-Apr-08,11-Apr-08,HRDT,HIV test,100,10,3500.0,350.0,3.5,39,604,
1861,Rwanda,Air,16-Aug-08,16-Aug-08,HRDT,HIV test,100,340,47260.0,139.0,1.39,234,5446.06,
1660,Zimbabwe,Air,17-Nov-08,21-Oct-08,HRDT,HIV test - Ancillary,100,1634,16.34,0.01,0.0,Weight Captured Separately,Invoiced Separately,
1673,South Africa,Truck,24-Apr-08,24-Apr-08,ARV,Adult,180,400,15760.0,39.4,0.22,Weight Captured Separately,Freight Included in Commodity Cost,133.3/33.3mg
1674,South Africa,Truck,24-Apr-08,24-Apr-08,ARV,Pediatric,90,6,47.28,7.88,0.09,Weight Captured Separately,Freight Included in Commodity Cost,80mg/ml
1675,South Africa,Truck,24-Apr-08,24-Apr-08,ARV,Adult,30,500,10925.0,21.85,0.73,Weight Captured Separately,Freight Included in Commodity Cost,300mg
1691,Vietnam,Air,7-Jul-08,20-Jun-08,ARV,Adult,60,10080,29232.0,2.9,0.05,507,4159.45,150mg
1693,Vietnam,Air,1-Jun-08,1-Jun-08,ARV,Adult,30,6720,77145.6,11.48,0.38,522,3796.05,600mg
1719,Côte d'Ivoire,Air,9-May-08,9-May-08,HRDT,HIV test - Ancillary,100,250,2.5,0.01,0.0,17,Freight Included in Commodity Cost,
1722,South Africa,,25-Apr-08,7-Apr-08,ARV,Adult,30,300,4614.0,15.38,0.51,Weight Captured Separately,Freight Included in Commodity Cost,600mg
1723,South Africa,,25-Apr-08,25-Apr-08,ARV,Adult,60,300,4155.0,13.85,0.23,Weight Captured Separately,Freight Included in Commodity Cost,300mg
1724,South Africa,,25-Apr-08,7-Apr-08,ARV,Adult,30,100,1849.0,18.49,0.62,Weight Captured Separately,Freight Included in Commodity Cost,250mg
1730,Nigeria,Air,28-May-08,28-May-08,HRDT,HIV test - Ancillary,100,1130,11.3,0.01,0.0,Weight Captured Separately,Invoiced Separately,
